 	ELoss	Intensity
868	22.272	74.031
869	22.302	72.621
870	22.333	72.480
871	22.363	73.039
872	22.393	74.676
873	22.423	74.637
874	22.453	73.539
875	22.484	73.809
876	22.514	71.859
877	22.544	70.379
878	22.574	70.016
879	22.605	70.344
880	22.635	69.875
881	22.665	69.969
882	22.695	68.867
883	22.725	68.516
884	22.756	68.445
885	22.786	70.141
886	22.816	69.953
887	22.846	69.703
888	22.877	67.621
889	22.907	67.719
890	22.937	65.344
891	22.967	66.016
892	22.997	64.469
893	23.028	65.609
894	23.058	67.270
895	23.088	66.461
896	23.118	65.398
897	23.149	64.199
898	23.179	63.734
899	23.209	63.582
900	23.239	65.098
901	23.269	62.781
902	23.300	61.445
903	23.330	62.230
904	23.360	62.977
905	23.390	61.508
906	23.421	62.125
907	23.451	61.848
908	23.481	61.453
909	23.511	61.469
910	23.541	62.188
911	23.572	61.207
912	23.602	59.180
913	23.632	58.695
914	23.662	60.395
915	23.692	61.684
916	23.723	59.855
917	23.753	58.551
918	23.783	57.910
919	23.813	58.652
920	23.844	59.746
921	23.874	58.531
922	23.904	58.516
923	23.934	57.973
924	23.964	56.887
925	23.995	56.562
926	24.025	56.246
927	24.055	56.102
928	24.085	57.340
929	24.116	56.641
930	24.146	58.242
931	24.176	58.539
932	24.206	56.512
933	24.236	55.441
934	24.267	54.641
935	24.297	53.059
936	24.327	55.664
937	24.357	55.152
938	24.388	53.449
939	24.418	55.289
940	24.448	54.445
941	24.478	53.305
942	24.508	53.621
943	24.539	54.871
944	24.569	54.234
945	24.599	55.086
946	24.629	53.758
947	24.660	53.434
948	24.690	54.145
949	24.720	51.789
950	24.750	49.551
951	24.780	51.797
952	24.811	52.355
953	24.841	52.047
954	24.871	52.824
955	24.901	52.418
956	24.931	51.645
957	24.962	53.309
958	24.992	53.719
959	25.022	53.086
960	25.052	53.086
961	25.083	52.980
962	25.113	51.160
963	25.143	50.445
964	25.173	51.215
965	25.203	51.109
966	25.234	52.395
967	25.264	52.934
968	25.294	53.887
969	25.324	53.297
970	25.355	52.785
971	25.385	51.883
972	25.415	52.250
973	25.445	50.551
974	25.475	50.883
975	25.506	50.695
976	25.536	50.727
977	25.566	50.164
978	25.596	51.742
979	25.627	51.633
980	25.657	51.703
981	25.687	50.855
982	25.717	51.246
983	25.747	50.020
984	25.778	51.410
985	25.808	51.840
